Artist,Print title,Year,Medium,Dimensions,Publisher,Print ID -- for internal purposes only; this is used to link prints across each table; think of it as a catalogue raisonné number),Bio ID
Alice Trumbull Mason,Congo,,Etching in color,,,1,1
Alice Trumbull Mason,Congruent Red,,Etching,,,2,1
Alice Trumbull Mason,Cool Arch,,Woodcut,,,3,1
Alice Trumbull Mason,Countervariation,,Etching,,,4,1
Alice Trumbull Mason,Dactyl,,Aquatint,,,5,1
Alice Trumbull Mason,Deep Sound,,,,,6,1
Alice Trumbull Mason,Ellipsis,,Etching,,,7,1
Alice Trumbull Mason,Ghostmark,,Etching,,,8,1
Alice Trumbull Mason,Indicative Displacement,,Soft ground etching,,,9,1
Alice Trumbull Mason,Interference of Closed Forms,,Etching,,,10,1
Alice Trumbull Mason,Intransitive,,Etching,,,11,1
Alice Trumbull Mason,Inverse,,Etching,,,12,1
Alice Trumbull Mason,Labyrinth of Closed Forms,,Etching,,,13,1
Alice Trumbull Mason,Laughter,,Woodcut in color,,,14,1
Alice Trumbull Mason,Lyric Collusion,,Etching,,,15,1
Alice Trumbull Mason,Meanderthal Roturns,,Etching,,,16,1
Alice Trumbull Mason,Nine Triangles,,Color woodcut,,,17,1
Alice Trumbull Mason,Orientation of Closed Forms,,,,,18,1
Alice Trumbull Mason,Passage Tension,,Etching,,,19,1
Alice Trumbull Mason,Penetration,,Etching,,,20,1
Alice Trumbull Mason,Surface Tension,,Soft ground etching,,,21,1
Alice Trumbull Mason,Suspension,,"Etching, soft ground etching, and color relief",,,22,1
Alice Trumbull Mason,The Starry Firmament,,Etching and aquatint,,,23,1
Alice Trumbull Mason,Three Elements,,Etching,,,24,1
Alice Trumbull Mason,Tidal Depths,,Woodcut in color,,,25,1
Alice Trumbull Mason,Tidal Depths on Sekishu,,Color woodcut,,,26,1
Alice Trumbull Mason,Talisman,,,,,27,1
Alice Trumbull Mason,Transition,,Aquatint and soft ground etching in color,,,28,1
Alice Trumbull Mason,Transitive,,Etching,,,29,1
Alice Trumbull Mason,Trinity,,Etching,,,30,1
Alice Trumbull Mason,Twilight,,Woodcut in color,,,31,1
Alice Trumbull Mason,White Burden,,Etching and soft ground etching with stencil,,,32,1
Alice Trumbull Mason,White Current,,Woodcut,,,33,1
Alice Trumbull Mason,White Scaffolding,,Soft ground etching,,,34,1
Alicia Bell Legg,Buildings,,Woodcut,,,35,2
Alicia Bell Legg,Objects,,Aquatint and engraving,,,36,2
Alicia Bell Legg,Pat,,Color woodcut,,,37,2
Ana Rosa de Ycaza,A Tiniebla,,Aquatint and etching,,,38,3
Ana Rosa de Ycaza,Black Bull,,Aquatint,,,39,3
Ana Rosa de Ycaza,Marruecos,,Soft ground etching,,,40,3
Anita Heiman,Naturaja,,Engraving and etching in color,,,41,4
Anne Ryan,25 prints,,,,,42,5
Anne Ryan,38 prints,,,,,43,5
Anne Ryan,Abstract,,,,,44,5
Anne Ryan,Abstract II,,,,,45,5
Anne Ryan,Abstract III,,Woodcut,,,46,5
Anne Ryan,Abstract IXI,,,,,47,5
Anne Ryan,Abstract XIII,,,,,48,5
Anne Ryan,Amazon,,,,,49,5
Anne Ryan,Arabesque,,,,,50,5
Anne Ryan,Boy and Colt,,,,,51,5
Anne Ryan,Capriccioso,,,,,52,5
Anne Ryan,Centaur,,Engraving,,,53,5
Anne Ryan,Circus I,,Woodcut,,,54,5
Anne Ryan,Circus III,,Woodcut,,,55,5
Anne Ryan,"Collage in Blue, Grey and Yellow",,,,,56,5
Anne Ryan,"Collage in White, Grey and Beige",,,,,57,5
Anne Ryan,Crucifixion,,Woodcut,,,58,5
Anne Ryan,Dancer,,Woodcut,,,59,5
Anne Ryan,Dancers Resting,,,,,60,5
Anne Ryan,Embrace,,,,,61,5
Anne Ryan,Fabulous Sea,,,,,62,5
Anne Ryan,Face,,,,,63,5
Anne Ryan,Fairy Tale,,,,,64,5
Anne Ryan,Fantasia,,Color woodcut,,,65,5
Anne Ryan,Figure,,,,,66,5
Anne Ryan,Fish,,,,,67,5
Anne Ryan,Frightened Bird,,,,,68,5
Anne Ryan,Fruit in a Tree,,,,,69,5
Anne Ryan,Fruit on a White Plate,,Woodblock,,,70,5
Anne Ryan,Fruit on Green Cloth,,Color woodcut,,,71,5
Anne Ryan,Girl in a Green Cap,,Woodcut,,,72,5
Anne Ryan,Head ,,,,,73,5
Anne Ryan,Head (Pink and Blue),,,,,74,5
Anne Ryan,Head of Young Woman,,,,,75,5
Anne Ryan,Helios,,Woodcut,,,76,5
Anne Ryan,Hercules,,,,,77,5
Anne Ryan,Hercules Bringing Cerberus from Hades,,Woodcut,,,78,5
Anne Ryan,In a Room,,,,,79,5
Anne Ryan,In a Street,,,,,80,5
Anne Ryan,In the Meadow,,Etching and soft ground etching,,,81,5
Anne Ryan,Juggler,,,,,82,5
Anne Ryan,Jugglers,,,,,83,5
Anne Ryan,King,,,,,84,5
Anne Ryan,King and Queen,,,,,85,5
Anne Ryan,Lady with a Flower,,Woodcut,,,86,5
Anne Ryan,Landscape with Figure,,Unknown,,,87,5
Anne Ryan,Lazarus,,Woodcut,,,88,5
Anne Ryan,Magician,,,,,89,5
Anne Ryan,Message,,,,,90,5
Anne Ryan,Mobile,,,,,91,5
Anne Ryan,Monkey and the Lamp,,Woodcut,,,92,5
Anne Ryan,Morning Walk,,,,,93,5
Anne Ryan,New Bird,,,,,94,5
Anne Ryan,Obelisque ,,Unknown,,,95,5
Anne Ryan,On the Shore,,,,,96,5
Anne Ryan,Oracle,,,,,97,5
Anne Ryan,Orpheus,,Woodcut,,,98,5
Anne Ryan,Pastoral,,,,,99,5
Anne Ryan,Pegasus I,,Etching,,,100,5
Anne Ryan,Pegasus II,,Etching,,,101,5
Anne Ryan,Pentecost,,Woodcut,,,102,5
Anne Ryan,Personal World,,,,,103,5
Anne Ryan,Prima Vera,,,,,104,5
Anne Ryan,Quest,,,,,105,5
Anne Ryan,Sails,,,,,106,5
Anne Ryan,Seated Woman,,,,,107,5
Anne Ryan,Sleep,,,,,108,5
Anne Ryan,Sleep ,,,,,109,5
Anne Ryan,Soldier,,,,,110,5
Anne Ryan,Standing Nude,,,,,111,5
Anne Ryan,Tame Unicorn ,,,,,112,5
Anne Ryan,Tenements,,,,,113,5
Anne Ryan,Tenements in a Sea Town,,,,,114,5
Anne Ryan,The Argument,,Woodcut,,,115,5
Anne Ryan,The Captive,,,,,116,5
Anne Ryan,The Cast of Lots,,,,,117,5
Anne Ryan,The Flight,,Woodcut,,,118,5
Anne Ryan,The Green Pitcher,,Woodcut,,,119,5
Anne Ryan,The Pink Star,,,,,120,5
Anne Ryan,The Pullet,,Woodcut,,,121,5
Anne Ryan,The Serpent,,Woodcut,,,122,5
Anne Ryan,The Spiders,,,,,123,5
Anne Ryan,The Storm,,Woodcut,,,124,5
Anne Ryan,The Window,,,,,125,5
Anne Ryan,The Wine Glass,,Color woodcut,,,126,5
Anne Ryan,They Cast Lots,,,,,127,5
Anne Ryan,Three Clowns,,,,,128,5
Anne Ryan,Two Figures,,,,,129,5
Anne Ryan,Two Women,,,,,130,5
Anne Ryan,VIII,,,,,131,5
Anne Ryan,Virgin in the Wood,,,,,132,5
Anne Ryan,Visit,,,,,133,5
Anne Ryan,Watching a Bird,,,,,134,5
Anne Ryan,Weathervane,,,,,135,5
Anne Ryan,Window I,,,,,136,5
Anne Ryan,Woman Afraid of a Dog,,,,,137,5
Anne Ryan,Woman in a Green Hat,,,,,138,5
Anne Ryan,Woman in a Grove,,,,,139,5
Anne Ryan,Woman in Tears,,,,,140,5
Anne Ryan,Woman of the Inn,,,,,141,5
Anne Ryan,Woman Undressing,,,,,142,5
Anne Ryan,Woman Watching a Bird,,Woodcut,,,143,5
Anne Ryan,Woman with a Flower,,,,,144,5
Anne Ryan,Women Undressing,,Etching and soft ground etching,,,145,5
Anne Ryan,X,,,,,146,5
Anne Ryan,XV,,,,,147,5
Anne Ryan,XX,,,,,148,5
Anne Ryan,XXII,,,,,149,5
Anne Ryan,XXX,,,,,150,5
Anne Ryan,XXXIV,,Woodcut in color,,,151,5
Anne Ryan,Young Clown,,,,,152,5
Anne Wienholt,Nativity,,Unknown,,,153,6
Anne Wienholt,Rock Pippit,,Etching and aquatint,,,154,6
Anne Wienholt,St. Jerome and the Lion,,Engraving and aquatint,,,155,6
Anne Wienholt,The English Child,,Engraving and etching,,,156,6
Anne Wienholt,The Owl and the Pussy Cat,,Color etching and aquatint,,,157,6
Anne Wienholt,Wind Bird and Other Northern Fauna,,Etching and aquatint,,,158,6
Catherine Yarrow,Head,,Etching,,,159,7
Catherine Yarrow,Three Witches,,Etching and aquatint,,,160,7
Christine Engler,Bird of Evil Omen,,Engraving and etching in color,,,161,8
Christine Engler,Christmas Eve,,Engraving,,,162,8
Christine Engler,Circus,,Engraving,,,163,8
Christine Engler,Classic Grandeur,,Engraving,,,164,8
Christine Engler,Clowns,,Engraving,,,165,8
Christine Engler,Dance of a Celestial Nymph,,Engraving in color,,,166,8
Christine Engler,Dance of India,,Engraving in color,,,167,8
Christine Engler,Dance of the Worship of Arms,,Unknown,,,168,8
Christine Engler,Dancer of Spain,,Engraving in color,,,169,8
Christine Engler,Gigantic Shell,,Engraving,,,170,8
Christine Engler,Horse,,Liftground etching,,,171,8
Christine Engler,Madonna and Child,,Engraving,,,172,8
Christine Engler,Shellscape,,Engraving,,,173,8
Christine Engler,"Snake Charmer, Shankar",,Engraving and etching in color,,,174,8
Christine Engler,The Sheltering Arm,,Engraving,,,175,8
Christine Engler,Tiger,,Engraving and etching,,,176,8
Christine Engler,Two Horses,,Engraving,,,177,8
Christine Engler,White Murex,,Engraving,,,178,8
Cynthia Brandts,Deserted House,,Etching,,,179,9
Cynthia Brandts,Horses and Riders,,Etching,,,180,9
Cynthia Brandts,Whoa!,,Engraving and etching,,,181,9
Doris Seidler,Abstraction,,Aquatint and drypoint,,,182,10
Doris Seidler,Aftermath,,"Engraving, etching, and aquatint",,,183,10
Doris Seidler,Arkhaios,,Engraving and aquatint,,,184,10
Doris Seidler,Arkhaios IV,,,,,185,10
Doris Seidler,Arkhaios XIX,,,,,186,10
Doris Seidler,City 1 - night,,Etching and aquatint,,,187,10
Doris Seidler,City 2  - skyscraper,,Aquatint,,,188,10
Doris Seidler,City 3 - luna composition,,Etching and aquatint,,,189,10
Doris Seidler,City 4 - luna composition,,Etching and aquatint,,,190,10
Doris Seidler,Clown,,Drypoint and aquatint,,,191,10
Doris Seidler,Collage Print ,,Etching and cello cut,,,192,10
Doris Seidler,Composition #3 City,,Etching,,,193,10
Doris Seidler,Daedalian Theme #3,,Drypoint and etching,,,194,10
Doris Seidler,Daedalian Theme 2,,Etching and drypoint,,,195,10
Doris Seidler,Daedalian Theme 4,,"Aquatint, etching, and drypoint ",,,196,10
Doris Seidler,"Daedalian Theme, No. 4",,Etching and drypoint,,,197,10
Doris Seidler,Daughters of Wodan,,Drypoint and aquatint,,,198,10
Doris Seidler,Druid,,Drypoint,,,199,10
Doris Seidler,Fetish,,Etching,,,200,10
Doris Seidler,Figure,,Etching and aquatint,,,201,10
Doris Seidler,Forum,,Drypoint,,,202,10
Doris Seidler,Fragmented Totem ,,"Aquatint, etching, and drypoint ",,,203,10
Doris Seidler,Fragments,,"Aquatint, color - pink/white",,,204,10
Doris Seidler,Fragments Revealed 1,,Aquatint and drypoint,,,205,10
Doris Seidler,Fragments Revealed 2,,Aquatint and drypoint,,,206,10
Doris Seidler,Gothic ,,Aquatint,,,207,10
Doris Seidler,Improbable Dog,,Engraving,,,208,10
Doris Seidler,Journey to Asgard,,Drypoint,,,209,10
Doris Seidler,Luna Composition 32 -- City,,Etching and aquatint,,,210,10
Doris Seidler,Luna Composition No. 2 -- Landscape,,Etching and engraving,,,211,10
Doris Seidler,Luna Composition No. 3 -- City,,Etching and aquatint,,,212,10
Doris Seidler,Masked Forms 1,,"Aquatint, color - pink/black",,,213,10
Doris Seidler,Masked Forms 2,,"Aquatint, color - pink/black",,,214,10
Doris Seidler,Moon World 2,,"Etching, color - round blue/lilac",,,215,10
Doris Seidler,Moon World 3,,"Etching and engraving, color - round blue",,,216,10
Doris Seidler,Moonlight & Structure,,"Etching and enngraving, color - blue/black",,,217,10
Doris Seidler,Nocturne,,Engraving and aquatint,,,218,10
Doris Seidler,Plant Totem 1,,Aquatint and drypoint,,,219,10
Doris Seidler,Plant Totem 2,,Aquatint and drypoint,,,220,10
Doris Seidler,Plant Totem 3,,Aquatint and drypoint,,,221,10
Doris Seidler,Poissonniere,,Drypoint and aquatint,,,222,10
Doris Seidler,Progressions,,Etching,,,223,10
Doris Seidler,Reflections - landscape,,Aquatint and drypoint,,,224,10
Doris Seidler,Reflections - profiles,,Engraving and aquatint,,,225,10
Doris Seidler,Seated Figure,,Aquatint and drypoint,,,226,10
Doris Seidler,Sheba 1,,Aquatint and drypoint,,,227,10
Doris Seidler,Sheba 2,,Etching,,,228,10
Doris Seidler,Shore Forms,,Engraving and etching,,,229,10
Doris Seidler,Veiled Forms,,Aquatint,,,230,10
Doris Seidler,Water Lily,,Aquatint,,,231,10
Dorothy Dehner,Aerial to Infinity,,,,,232,11
Dorothy Dehner,Bird Machine I,,Engraving,,,233,11
Dorothy Dehner,River Landscape II,,Engraving,,,234,11
Dorothy Dehner,Things on Strings,,,,,235,11
Ellen Abbey,Annunciation,,,,,236,12
Ellen Abbey,Mnemosyne,,Etching,,,237,12
Ellen Abbey,Scattered Journey,,Engraving and soft ground etching,,,238,12
Ellen Abbey,Sun Spots,,Engraving and etching in color,,,239,12
Fannie Hillsmith,Composition,,Engraving and soft ground etching,,,240,13
Fannie Hillsmith,Interior in Pink,,Woodcut in color,,,241,13
Fannie Hillsmith,Interior with Bottles,,Etching and engraving,,,242,13
Fannie Hillsmith,Interior with Lamp,,Engraving and soft ground etching,,,243,13
Fannie Hillsmith,Sack--1644,,Woodcut in color,,,244,13
Fannie Hillsmith,Study No. 5,,Aquatint,,,245,13
Fannie Hillsmith,The Persian Bottle,,Engraving and aquatint,,,246,13
Frances Mitchell,Crucifixion,,Etching,,,247,14
Frances Mitchell,End of the Day,,Engraving and soft ground etching,,,248,14
Frances Mitchell,End of the World,,Aquatint,,,249,14
Francine Felsenthal,August Picard Examining His Universe in a Bathtub,,,,,250,15
Francine Felsenthal,Back End of a Walrus,,Serigraph,,,251,15
Francine Felsenthal,Bathers,,Engraving,,,252,15
Francine Felsenthal,Child with Bubble Gum,,Engraving and soft ground etching,,,253,15
Francine Felsenthal,From Nantucket,,Lithograph,,,254,15
Francine Felsenthal,Portrait of John Scott,,Serigraph,,,255,15
Francine Felsenthal,Saturday Night at Morang's,,Lithograph,,,256,15
Francine Felsenthal,Observing Person,,,,,257,15
Francine Felsenthal,A Lonesome George,,,,,258,15
Gwyn Ferris,Subterranean,,Unknown,,,259,16
Harriet Berger Nurkse,Figures,,Engraving and soft ground etching,,,260,17
Harriet Berger Nurkse,Mural,,Engraving and soft ground etching,,,261,17
Harriet Berger Nurkse,Child,,Etching and engraving,,,262,17
Harriet Berger Nurkse,Figures in a Garden,,Engraving and aquatint,,,263,17
Harriet Berger Nurkse,Morning after Raiders,,Aquatint,,,264,17
Harriet Berger Nurkse,Mural,,Aquatint and engraving,,,265,17
Harriet Berger Nurkse,New Jersey Gothic,,Aquatint,,,266,17
Harriet Berger Nurkse,Portrait,,Lithograph,,,267,17
Harriet Berger Nurkse,The Neighbor,,Unknown,,,268,17
Harriet Berger Nurkse,Tiger,,Etching and aquatint,,,269,17
Harriet Berger Nurkse,Washing on the Roof,,Woodcut in color,,,270,17
Harriet Berger Nurkse,Young Man at a Table,,Woodcut,,,271,17
Helen Phillips,Figure in Space,,Engraving,,,272,19
Hope Manchester,Dream,,Etching and soft ground etching,,,273,20
Hope Manchester,Ophelia,,Etchng and aquatint,,,274,20
Hope Manchester,Seascape,,Engraving and soft ground etching,,,275,20
Hope Manchester,The Poet,,Etching and soft ground etching,,,276,20
Irene Aronson,Circus Arena,,Soft ground etching,,,277,21
Irene Aronson,Circus Frolicking,,"Engraving, soft ground ethcing, and aquatint",,,278,21
Irene Aronson,Circus Fun,,Engraving and soft ground etching,,,279,21
Irene Aronson,Cirque III,,Soft ground etching,,,280,21
Irene Aronson,Clown,,Soft ground etching with colored stencils,,,281,21
Irene Aronson,Clown Fun,,Engraving,,,282,21
Irene Aronson,Clowns,,Etching,,,283,21
Irene Aronson,Dance Hindoue,,Soft ground etching and aquatint,,,284,21
Irene Aronson,Dance Macabre (porfolio),,,,,285,21
Irene Aronson,Dancer with Deathmasks,,Soft ground etching and aquatint,,,286,21
Irene Aronson,Dancing Skeletons,,Soft ground etching and aquatint,,,287,21
Irene Aronson,Danse Macabre,,Soft ground etching and aquatint,,,288,21
Irene Aronson,Danse Macabre I,,Soft ground etching and drypoint,,,289,21
Irene Aronson,Day of the Dead,,Soft ground etching,,,290,21
Irene Aronson,Death comes to a Monster,,Soft ground etching and lift ground,,,291,21
Irene Aronson,Death Comes to the Miser,,Soft ground etching and aquatint,,,292,21
Irene Aronson,"La Clownesse, Mme Haulon",,Etching,,,293,21
Irene Aronson,Lady Clown,,Engraving and etching,,,294,21
Irene Aronson,Le Cirque I,,Soft ground etching,,,295,21
Irene Aronson,Le Cirque II,,Soft ground etching,,,296,21
Irene Aronson,Le Soleil,,Soft ground etching and aquatint,,,297,21
Irene Aronson,L'oiseau,,Soft ground etching,,,298,21
Irene Aronson,L'Opéra,,Soft ground etching,,,299,21
Irene Aronson,Moonlight,,Soft ground etching and aquatint,,,300,21
Irene Aronson,The Boat,,Etching,,,301,21
Irene Aronson,The Christmas Fair,,Soft ground etching and etching,,,302,21
Irene Aronson,The Circus (portfolio),,,,,303,21
Irene Aronson,The Clowns,,Engraving,,,304,21
Irene Aronson,The Jester,,Engraving,,,305,21
Irene Aronson,The Seafarers,,Soft ground etching and aquatint,,,306,21
Irene Aronson,Three Dancing Skeletons,,Soft ground etching and roulette,,,307,21
Irene Aronson,Wandering Soul I,,Soft ground etching,,,308,21
Irene Aronson,Wandering Soul II,,Soft ground etching,,,309,21
Jan Gelb,Channels of Night,,Etching and relief,,,310,22
Jan Gelb,Cosmic Entry,,,,,311,22
Jan Gelb,Departure,,Unknown,,,312,22
Jan Gelb,Distant Planet,,Unknown,,,313,22
Jan Gelb,Forsaken Idol,,Etching,,,314,22
Jan Gelb,Grief,,Etching,,,315,22
Jan Gelb,Homage to the Phosphor II,,Unknown,,,316,22
Jan Gelb,Hommage to Phospher,,Etching,,,317,22
Jan Gelb,Hyaline Pavane,,Color etching,,,318,22
Jan Gelb,Implosion #2,,Etching and relievo,,,319,22
Jan Gelb,Leaping Free,,Unknown,,,320,22
Jan Gelb,Moon Flower,,Unknown,,,321,22
Jan Gelb,Night Wind,,Unknown,,,322,22
Jan Gelb,Of Dark Voices Singing,,Etching,,,323,22
Jan Gelb,Of Fire and Water,,,,,324,22
Jan Gelb,Of Grunwald's St. Anthony,,Unknown,,,325,22
Jan Gelb,Of Things to Come,,Etching and relievo,,,326,22
Jan Gelb,Radiant Webs,,Etching,,,327,22
Jan Gelb,Space Entry,,Unknown,,,328,22
Jan Gelb,Space Traveller,,Etching and aquatint,,,329,22
Jan Gelb,The Beast,,Etching,,,330,22
Jan Gelb,The Star,,Unknown,,,331,22
Jan Gelb,Visitant,,Unknown,,,332,22
Jan Gelb,When the Sun Dies,,Etching,,,333,22
Jean Francksen,Bouquet,,,,,334,23
Jean Francksen,Departure,,Lithograph,,,335,23
Jean Morrison,Interstices,,Soft ground etching,,,336,24
Joellen Peet,Vertical Image,,Etching,,,337,25
Lili Garafulic,Cellista,,Etching and aquatint,,,338,26
Lillian Orloff,Bar Relief,,Relief etching,,,339,27
